,MAE,RMSE,R2
Random Forest Regressor,1.8626082199395786,2.563468498316676,0.7022208694219301
XGBoost Regressor,1.9660778045654297,2.693668295203127,0.6692312359809875
Support Vector Regressor (SVR),2.0639772586669,2.7675530840303466,0.6322314749250904
